confederation,slider_level,length_scale_years,year,mean,p5,p95
CONMEBOL,1.5,6.44,2002,1823.4402013115275,1805.5451879996945,1841.3352146233603
CONMEBOL,1.5,6.44,2003,1828.5042499877557,1810.72988427645,1846.278615699061
CONMEBOL,1.5,6.44,2004,1834.7205564589974,1816.5713829112485,1852.869730006746
CONMEBOL,1.5,6.44,2005,1842.3320514386942,1823.6126685730067,1861.0514343043815
CONMEBOL,1.5,6.44,2006,1851.3986812345104,1832.2596706870622,1870.5376917819588
CONMEBOL,1.5,6.44,2007,1861.8320336523066,1842.65683509223,1881.007232212383
CONMEBOL,1.5,6.44,2008,1873.43295474009,1854.6327479760205,1892.2331615041596
CONMEBOL,1.5,6.44,2009,1885.9034734936877,1867.696983674845,1904.1099633125305
CONMEBOL,1.5,6.44,2010,1898.8325067107803,1881.0928192207605,1916.5721942008001
CONMEBOL,1.5,6.44,2011,1911.6791786635945,1893.9273787876075,1929.4309785395817
CONMEBOL,1.5,6.44,2012,1923.7862976641807,1905.4215457784487,1942.1510495499126
CONMEBOL,1.5,6.44,2013,1934.4462485976228,1915.157111958047,1953.7353852371987
CONMEBOL,1.5,6.44,2014,1943.017085419553,1923.0588450129592,1962.975325826147
CONMEBOL,1.5,6.44,2015,1949.0586561205314,1929.1273602850508,1968.9899519560122
CONMEBOL,1.5,6.44,2016,1952.4403567711324,1933.182426718538,1971.698286823727
CONMEBOL,1.5,6.44,2017,1953.3741760275796,1934.8479756988486,1971.9003763563103
CONMEBOL,1.5,6.44,2018,1952.3513034729604,1933.926734629848,1970.775872316073
CONMEBOL,1.5,6.44,2019,1949.998589487624,1930.8218041950536,1969.1753747801945
CONMEBOL,1.5,6.44,2020,1946.9050119462768,1926.1529466198804,1967.6570772726734
CONMEBOL,1.5,6.44,2021,1943.4809283003888,1919.8916389675378,1967.07021763324
CONMEBOL,1.5,6.44,2022,1939.8974942904001,1911.4118327569327,1968.3831558238674
CONMEBOL,1.5,6.44,2023,1936.1180924428163,1900.4569717843683,1971.779213101264
CONMEBOL,1.5,6.44,2024,1931.996002116996,1887.5410690170609,1976.4509352169312
CONMEBOL,1.5,6.44,2025,1927.3906214068693,1873.5451520409524,1981.236090772786
CONMEBOL,1.5,6.44,2026,1922.2561601827479,1859.3280364144443,1985.1842839510514
CONMEBOL,2.5,10.74,1992,1797.442253993811,1772.473062214319,1822.411445773303
CONMEBOL,2.5,10.74,1993,1796.466380125018,1775.0841434455638,1817.8486168044724
CONMEBOL,2.5,10.74,1994,1796.3526873114536,1777.6496856998579,1815.055688923049
CONMEBOL,2.5,10.74,1995,1797.1086524630546,1780.2059822009483,1814.0113227251609
CONMEBOL,2.5,10.74,1996,1798.7200174798888,1782.8594072532992,1814.5806277064785
CONMEBOL,2.5,10.74,1997,1801.1594389649485,1785.7725687017673,1816.54630922813
CONMEBOL,2.5,10.74,1998,1804.396112991704,1789.1206238620452,1819.6716021213629
