team,confederation,p_win_do1,p_win_do0,diff_mean,diff_p5,diff_p95
DR Congo,CAF,0.002836608047205433,0.0025504198741079253,0.00028618817309752914,-0.0014380111194345507,0.002713399629926283
Scotland,UEFA,0.005147676216161429,0.004863285868002929,0.0002843903481586732,-0.0011482539987093098,0.0025248839754170227
Czech Republic,UEFA,0.004679292015026114,0.0044203202927594575,0.0002589717222668782,-0.001043681634249425,0.002299698732076758
Canada,CONCACAF,0.008553099318943295,0.008300734699236596,0.00025236461970676955,-0.005153789558967423,0.006788760349792724
Sweden,UEFA,0.0036080731998210927,0.003407478722545657,0.00020059447727527506,-0.0008070320380595144,0.0017737200325160978
Tunisia,CAF,0.0019786814122341014,0.0017858634262549046,0.00019281798597924318,-0.00103263041377393,0.0018418588257787802
New Zealand,OFC,0.0015775231200802614,0.0014210572958504469,0.00015646582422977905,-0.0007405692157049382,0.0015918423433264259
Panama,CONCACAF,0.004626172138567038,0.004496672143453095,0.00012949999511408956,-0.0027783396816831087,0.0034842582524232976
Uzbekistan,AFC,0.0036657399417442432,0.00354444419707886,0.00012129574466540513,-0.002059457143000925,0.0031110565715787805
Cape Verde,CAF,0.0012101821366511593,0.0010978977153732069,0.00011228442127796374,-0.0006517905763764264,0.001139024154659825
United States,CONCACAF,0.004030063139037419,0.003918760963851899,0.00011130217518539549,-0.002392428785612413,0.0029552130096898773
South Africa,CAF,0.0011742065491793193,0.0010655936880814268,0.00010861286109790203,-0.0006334421498984642,0.0011067135193030303
Bosnia and Herzegovina,UEFA,0.0012703702251557318,0.0011988270780074598,7.154314714828413e-05,-0.0002919738267288382,0.0006794010209284025
Ghana,CAF,0.000803986401400284,0.0007324614810636499,7.152492033661287e-05,-0.0004163799715659955,0.0007697137271593945
Jordan,AFC,0.0023910784120027115,0.002323217463470393,6.78609485324637e-05,-0.001360539051025473,0.002075883393053698
Iraq,AFC,0.0023518782773046345,0.0022855570679198886,6.632120938475426e-05,-0.0013394642528513061,0.002043351569205481
Saudi Arabia,AFC,0.0013450258516939598,0.0013152743724031482,2.9751479290838033e-05,-0.0008113369370350561,0.0010630306690430614
Haiti,CONCACAF,0.0011359764921084915,0.0011092429148461878,2.6733577262393346e-05,-0.0007135059828536698,0.0008438612251602478
Curaçao,CONCACAF,0.000442246931932724,0.0004335281324649916,8.718799467724398e-06,-0.00026915362792073787,0.0002986897962253147
Qatar,AFC,0.00042355201370588056,0.00041915928399509106,4.3927297107941255e-06,-0.00028287041213167894,0.00033242312857448665
Paraguay,CONMEBOL,0.014713413112860002,0.016810077249745193,-0.002096664136885668,-0.012153545307012226,0.005322760296825761
Uruguay,CONMEBOL,0.018587136494240708,0.0212491902856859,-0.0026620537914450286,-0.01589054823578851,0.006909030402001064
Ecuador,CONMEBOL,0.04033819854639421,0.04620263172686813,-0.0058644331804762855,-0.03610318619519824,0.01584840581989213
Brazil,CONMEBOL,0.04864483886248671,0.0557403310398458,-0.0070954921773589445,-0.04329461052956897,0.01862103851218956
Argentina,CONMEBOL,0.1522910419114035,0.17492450014473726,-0.022633458233338306,-0.13738635616650455,0.060418566041932936
