month,threshold,confederation,share,share_pct
2011-10,20,CAF,0.05,5.0
2011-10,20,CONCACAF,0.05,5.0
2011-10,20,CONMEBOL,0.25,25.0
2011-10,20,OFC,0.0,0.0
2011-10,20,UEFA,0.5,50.0
2011-11,20,AFC,0.1,10.0
2011-11,20,CAF,0.1,10.0
2011-11,20,CONCACAF,0.05,5.0
2011-11,20,CONMEBOL,0.25,25.0
2011-11,20,OFC,0.0,0.0
2011-11,20,UEFA,0.5,50.0
2011-12,20,AFC,0.1,10.0
2011-12,20,CAF,0.6,60.0
2011-12,20,CONCACAF,0.2,20.0
2011-12,20,CONMEBOL,0.1,10.0
2011-12,20,OFC,0.0,0.0
2011-12,20,UEFA,0.0,0.0
2012-01,20,AFC,0.2,20.0
2012-01,20,CAF,0.4,40.0
2012-01,20,CONCACAF,0.2,20.0
2012-01,20,CONMEBOL,0.0,0.0
2012-01,20,OFC,0.0,0.0
2012-01,20,UEFA,0.2,20.0
2012-02,20,AFC,0.1,10.0
2012-02,20,CAF,0.05,5.0
2012-02,20,CONCACAF,0.1,10.0
2012-02,20,CONMEBOL,0.25,25.0
2012-02,20,OFC,0.0,0.0
2012-02,20,UEFA,0.5,50.0
2012-03,20,AFC,0.3,30.0
2012-03,20,CAF,0.2,20.0
2012-03,20,CONCACAF,0.4,40.0
2012-03,20,CONMEBOL,0.1,10.0
2012-03,20,OFC,0.0,0.0
2012-03,20,UEFA,0.0,0.0
2012-04,20,AFC,0.26666666666666666,26.666666666666668
2012-04,20,CAF,0.2,20.0
2012-04,20,CONCACAF,0.3333333333333333,33.33333333333333
2012-04,20,CONMEBOL,0.2,20.0
2012-04,20,OFC,0.0,0.0
2012-04,20,UEFA,0.0,0.0
2012-05,20,AFC,0.1,10.0
2012-05,20,CAF,0.05,5.0
2012-05,20,CONCACAF,0.05,5.0
2012-05,20,CONMEBOL,0.1,10.0
2012-05,20,OFC,0.0,0.0
2012-05,20,UEFA,0.7,70.0
2012-06,20,AFC,0.15,15.0
2012-06,20,CAF,0.05,5.0
2012-06,20,CONCACAF,0.1,10.0
2012-06,20,CONMEBOL,0.2,20.0
2012-06,20,OFC,0.0,0.0
2012-06,20,UEFA,0.5,50.0
2012-07,20,AFC,0.15,15.0
2012-07,20,CAF,0.45,45.0
2012-07,20,CONCACAF,0.25,25.0
2012-07,20,CONMEBOL,0.0,0.0
2012-07,20,OFC,0.05,5.0
