confederation,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA,1996-07,7.255226098719042,7.228153071540871,7.284682380899344,1415.7041435421381,1377.6756844885251,1457.7980351841481
UEFA,1996-08,7.2554433353394545,7.228378497057484,7.284885951591909,1416.0116930229035,1377.9862828120365,1458.09483010458
UEFA,1996-09,7.2556634620036995,7.228621332442016,7.285109485157721,1416.3234040452578,1378.3209472066073,1458.420799557195
UEFA,1996-10,7.255886388912357,7.2288601123118585,7.285313746705023,1416.6391523541643,1378.650101799066,1458.7187297887153
UEFA,1996-11,7.2561120262660035,7.229080451987311,7.285537007262748,1416.9588135977438,1378.953906639563,1459.0444415726035
UEFA,1996-12,7.256340284265219,7.229331835524047,7.285766176397256,1417.282263321188,1379.300596484855,1459.378848086828
UEFA,1997-01,7.256571073110583,7.229582715498125,7.286046241079508,1417.6093769610184,1379.6466788033454,1459.7876248723433
UEFA,1997-02,7.256804303002671,7.229833087630481,7.286328529578588,1417.9400298397015,1379.9921471046086,1460.1997637027123
UEFA,1997-03,7.257039884142066,7.230078086022183,7.286612883531296,1418.2740971606015,1380.330284381081,1460.6150360314223
UEFA,1997-04,7.25727772672934,7.230316780165572,7.2868702809712795,1418.6114540032818,1380.659800524854,1460.991042994413
UEFA,1997-05,7.257517740965079,7.230524347163266,7.287121124452206,1418.9519753191632,1380.9464096143502,1461.3575691981387
UEFA,1997-06,7.257759837049854,7.230776640654252,7.287417349374342,1419.2955359275206,1381.2948575592536,1461.79052366093
UEFA,1997-07,7.258003925184249,7.2309807419348076,7.287619069656765,1419.6420105118314,1381.5768105177285,1462.0854262078453
UEFA,1997-08,7.258249915568841,7.2311600657967094,7.28780972779501,1419.9912736164802,1381.8245821838518,1462.3642112683501
UEFA,1997-09,7.258497718404207,7.231352166936315,7.288032773991393,1420.3431996438073,1382.0900576635659,1462.6904224307305
UEFA,1997-10,7.2587472438909275,7.231594681182135,7.288248009314855,1420.6976628515067,1382.4252750265136,1463.0052790464365
UEFA,1997-11,7.258998402229579,7.231801875543916,7.288467704127501,1421.0545373503849,1382.7117355803225,1463.3267291818372
UEFA,1997-12,7.259251103620741,7.2319705047596505,7.288711549483464,1421.4136971024654,1382.9449205725332,1463.683598179911
UEFA,1998-01,7.2595052582649915,7.232164208266241,7.288972518287569,1421.775015919444,1383.2128277337645,1464.0656237524138
UEFA,1998-02,7.25976077636291,7.232407311817063,7.289240594563462,1422.138367461507,1383.5491326111578,1464.45815756947
UEFA,1998-03,7.260017568115075,7.232668695009764,7.289511133413638,1422.5036252364964,1383.910816304629,1464.8544039466733
UEFA,1998-04,7.260275543722064,7.232899660268948,7.289793804474786,1422.8706625994305,1384.230488533439,1465.2685343425176
UEFA,1998-05,7.260534613384454,7.233091526529633,7.290110133711228,1423.2393527523875,1384.4961011417508,1465.7321148331418
UEFA,1998-06,7.260794687302829,7.233361295835066,7.290387265642316,1423.609568744741,1384.8696462658952,1466.1383723598246
UEFA,1998-07,7.261055675677761,7.233633321965077,7.290663236332088,1423.9811834737468,1385.246418325301,1466.5430396127554
UEFA,1998-08,7.26131748870983,7.233880312321615,7.290941745683686,1424.3540696855039,1385.5886029987341,1466.9515427487777
UEFA,1998-09,7.261580036599618,7.2341277242765,7.29121908692889,1424.7280999762613,1385.9314564833037,1467.3584450626606
UEFA,1998-10,7.2618432295477,7.234374901563038,7.29149674744093,1425.1031467940868,1386.2740695389089,1467.765928841301
UEFA,1998-11,7.262106977754656,7.23463098555931,7.291713331718414,1425.479082440902,1386.629117593223,1468.08385834029
UEFA,1998-12,7.262371191421065,7.234904520521371,7.291944588661109,1425.8557790748757,1387.0084610664715,1468.423402466861
UEFA,1999-01,7.262635787959451,7.235178969252152,7.292231252958386,1426.2331190455407,1387.3891760730091,1468.84440738884
UEFA,1999-02,7.262900713630136,7.2354540345686225,7.292519396145392,1426.611025925406,1387.7708512374704,1469.267705897253
UEFA,1999-03,7.263165921905384,7.235731230356514,7.292808926422394,1426.989433568869,1388.1555886886372,1469.6931649878097
UEFA,1999-04,7.263431366257464,7.236024923166925,7.293099751989659,1427.3682757863291,1388.563339853811,1470.1206515099277
UEFA,1999-05,7.263697000158643,7.236343497621745,7.293391781047451,1427.747486342635,1389.0057712517746,1470.5500321648262
UEFA,1999-06,7.263962777081189,7.236602015084407,7.293684921796041,1428.1269989555794,1389.3648998544722,1470.981173503735
UEFA,1999-07,7.264228650497367,7.236848244597825,7.293979082435694,1428.5067472944509,1389.7070445597742,1471.4139419262183
UEFA,1999-08,7.264494573879447,7.2371056839544785,7.294274171166676,1428.8866649786546,1390.0648559192375,1471.8482036786277
UEFA,1999-09,7.264760500699693,7.237355984433265,7.294569050492527,1429.2666855763794,1390.412833402243,1472.2822851393948
UEFA,1999-10,7.265026384430373,7.237606906284822,7.294862741599724,1429.6467426033234,1390.7617621372478,1472.7147445932542
UEFA,1999-11,7.265292178543754,7.237869529730904,7.295131590979709,1430.0267695214884,1391.127056696249,1473.1107362259588
UEFA,1999-12,7.265557836512104,7.238144383041167,7.295357441754362,1430.4066997380187,1391.5094651447746,1473.4434770061648
UEFA,2000-01,7.26582331180769,7.238400896504418,7.2956332630862555,1430.7864666041037,1391.8664518174776,1473.8499401968843
UEFA,2000-02,7.266088557902778,7.23866889543772,7.295880350586183,1431.1660034139425,1392.2395205568646,1474.2141551252214
UEFA,2000-03,7.266353528269636,7.2389323625817195,7.296151565389273,1431.5452434037609,1392.6063783195157,1474.614038014301
UEFA,2000-04,7.266618176380531,7.239186170279505,7.296411107284648,1431.9241197508861,1392.9598774546319,1474.996811890086
UEFA,2000-05,7.266882455707728,7.2394285794942945,7.29669713867442,1432.3025655728882,1393.297584705817,1475.4187675674896
UEFA,2000-06,7.267146319723499,7.23967196229376,7.296980804465295,1432.6805139267706,1393.636730648989,1475.8373527381186
UEFA,2000-07,7.267409721900106,7.239916432111248,7.297248091550853,1433.0578978082208,1393.9774744013605,1476.2318777257697
